,,,,,short term DS2016 - DM2016,,Long term comparison 1: DM2030 - DM2016,,,Long term comparison 2: DS2030 - DM2016,,,Change in nuisance level,,,,,Total number of dwellings,185,,,,
,DM 2016,DM 2030,DS 2016,DS 2030,"LA10,18hr change",Imapct magnitude,"LA10,18hr change","Lnight,outside change",Imapct magnitude,"LA10,18hr change","Lnight,outside change",Impact magnitude,DM,DS,,,,Other sesntive receptors,2,,,,
Martindale Close 6,60.6,61.1,60.7,61.4,0.1,Negligible,0.5,0.5,Negligible,0.8,0.7,Negligible,1%,10%,,,,,,,,,
Martindale Close 7,60.4,60.9,60.5,61.2,0.1,Negligible,0.5,0.5,Negligible,0.8,0.7,Negligible,1%,10%,,,,,,,,,
Manor Close 1,58.0,58.6,58.0,58.8,0.0,No change,0.6,0.5,Negligible,0.8,0.7,Negligible,1%,1%,,,,,,,,,
Manor Close 2,58.6,59.2,58.6,59.4,0.0,No change,0.6,0.5,Negligible,0.8,0.7,Negligible,1%,1%,,,,,,,,,
Manor Close 3,59.1,59.6,59.0,59.8,-0.1,-,0.5,0.5,Negligible,0.7,0.6,Negligible,1%,1%,,,,,,,,,
Manor Close 4,57.6,58.2,57.6,58.3,0.0,No change,0.6,0.5,Negligible,0.7,0.6,Negligible,1%,1%,,,,,,,,,
Manor Close 5,51.4,52.1,50.5,51.3,-0.9,-,0.7,0.6,Negligible,-0.1,-0.1,-,0%,0%,,,,,,,,,
Manor Close 6,51.0,51.8,50.1,51.0,-0.9,-,0.8,0.7,Negligible,0.0,0.0,No change,0%,0%,,,,,,,,,
Manor Close 8,50.4,51.1,49.4,50.3,-1.0,-,0.7,0.6,Negligible,-0.1,-0.1,-,0%,0%,,,,,,,,,
Manor Close 9,51.4,52.2,50.5,51.3,-0.9,-,0.8,0.7,Negligible,-0.1,-0.1,-,0%,0%,,,,,,,,,
Manor Close 10,51.2,51.9,50.1,50.9,-1.1,-,0.7,0.6,Negligible,-0.3,-0.3,-,0%,0%,,,,,,,,,
Manor Close 11,60.3,60.8,60.0,60.8,-0.3,-,0.5,0.5,Negligible,0.5,0.5,Negligible,1%,1%,,,,,,,,,
Manor Close 12,60.6,61.1,60.3,61.0,-0.3,-,0.5,0.5,Negligible,0.4,0.4,Negligible,1%,1%,,,,,,,,,
